Situation;Type; Name 
dti-in;in;innov
dti-out;out;innov
cloud-in;in;cloud_bureautique_externe
cloud-out;out;cloud_bureautique_externe
master-in;in;cloud_master
master-out;out;cloud_master
cloud-in;in;cloud_bureautique
cloud-out;out;cloud_bureautique
cloud-in;in;cloud_innovation
cloud-out;out;cloud_innovation
cloud-in;in;cloud_atm2
cloud-out;out;cloud_atm2
management-in;in;cloud_management
management-out;out;cloud_management
secbox-in;in;secbox
secbox-out;out;secbox
cloud-in;in;cloud_innovation_externe
cloud-out;out;cloud_innovation_externe
cloud-in;in;cloud_atm2_externe
cloud-out;out;cloud_atm2_externe
