Object Service;Service;Description
smtp;tcp destination eq smtp(port); SMTP
ntp;udp destination eq ntp; NTP
https;tcp destination eq https; HTTPS
rsyslog;tcp destination eq 601; SYSLOG
ldaps;tcp destination eq ldaps; LDAPS
proxy;tcp destination eq 3128; Proxy SQUID
ssh;tcp destination eq ssh; SSH
http_user;tcp destination eq 8080; http user pour installation coreos
http;tcp destination eq www;NO
kerberos_tcp;tcp destination eq 88;NO
kerberos_udp;udp destination eq 88;NO
kerberos_passwd_tcp;tcp destination eq 464;NO
kerberos_passwd_udp;udp destination eq 464;NO
ldap;tcp destination eq ldap; Cloud repository server
kafka;tcp destination eq 6667; Load Balancer Innovation
openshift;tcp destination eq 6443; API Openshift
port_3022;tcp destination eq 3022; Port specifique inconnu
isoda1;tcp destination eq 46152; API ISODA port 1
isoda2;tcp destination eq 46153; API ISODA port 2
isoda3;tcp destination eq 46154; API ISODA port 3
